dataset_id,noise_level,consensus_score,pattern,distance_threshold,outlier_threshold,seed
0,0,1.0,col_const,1e-09,0.9,0
1,0,1.0,col_const,1e-09,0.9,0
2,0,1.0,col_const,1e-09,0.9,0
3,0,1.0,col_const,1e-09,0.9,1
4,0,1.0,col_const,1e-09,0.9,0
0,0,1.0,row_const,1e-09,0.9,0
1,0,1.0,row_const,1e-09,0.9,1
2,0,0.875,row_const,1e-09,0.8,1
3,0,1.0,row_const,1e-09,0.9,0
4,0,1.0,row_const,1e-09,0.9,0
0,0,0.04166666666666663,scale,1e-09,0.8,1
1,0,0.0444444444444444,scale,1e-09,0.8,1
2,0,0.0057539682539682335,scale,1e-09,0.8,0
3,0,0.04166666666666663,scale,1e-09,0.8,0
4,0,0.0,scale,1e-09,0.8,0
0,0,1.0,shift,1e-09,0.9,1
1,0,1.0,shift,1e-09,0.9,0
2,0,1.0,shift,1e-09,0.9,0
3,0,1.0,shift,1e-09,0.9,0
4,0,1.0,shift,1e-09,0.9,0
